,word,cluster
4029,approved,3
4051,sonders,3
4062,arrange,3
4063,pointed,3
4074,declined,3
4084,ahold,3
4085,popped,3
4101,afterwards,3
4113,hostile,3
4114,document,3
4119,thousand,3
4121,expressed,3
4122,misunderstanding,3
4128,extreme,3
4132,replacement,3
4140,unnecessary,3
4143,instance,3
4153,emailed,3
4167,urgent,3
4197,holding,3
4211,carried,3
4229,confirmation,3
4231,refuse,3
4245,requesting,3
4256,asks,3
4279,regulation,3
4281,unannounced,3
4289,cuz,3
4294,truth,3
4308,confident,3
4317,attendant,3
4328,demand,3
4333,evidence,3
4350,male,3
4357,file,3
4360,avoided,3
4374,threatening,3
4380,addressing,3
4387,cancelling,3
4391,outage,3
4401,wasted,3
4420,scheduling,3
4421,resolution,3
4431,limit,3
4460,collect,3
4472,compensate,3
4493,illegal,3
4503,noon,3
4508,instructed,3
4515,global,3
4516,exterminator,3
4527,fake,3
4545,ongoing,3
4550,reimbursed,3
4562,advertising,3
4566,reminder,3
4568,figuring,3
4592,guessing,3
4602,pending,3
4605,racist,3
4629,lesson,3
4631,rushed,3
4644,claiming,3
4646,harassed,3
4660,losing,3
4662,zeus,3
4670,honor,3
4685,disclosed,3
4686,mishap,3
4696,provider,3
4706,potentially,3
4716,apologize,3
4718,handling,3
4763,keeper,3
4782,protect,3
4786,remind,3
4801,news,3
4819,inquired,3
4822,reaction,3
4827,bothering,3
4847,worrying,3
4854,duty,3
4856,angry,3
4872,frustrated,3
4879,join,3
4880,cleared,3
4884,maurice,3
4885,compensation,3
4888,nonexistent,3
4890,button,3
4892,mental,3
4932,guided,3
4933,fob,3
4941,adjusting,3
4950,trusted,3
4952,managing,3
4970,technical,3
4980,alert,3
4983,continues,3
4990,agreement,3
